tradeDate,ticker,play,pattern,size,openPrice,exitPrice,profitDollars,gainPercent,note,pre935To10h,preGapUp50,prePrice1To10,preFloat3To50m,preWaitPush,openSide,shortOnResistance,exitStrategy,errorNote
2026-06-04,BAC,A,GUS,1000,4.2000,3.1000,500.00,20.0000,,true,true,true,true,true,BACK,true,SWING_20,
2026-06-03,BBIG,A,GUS,3000,2.1500,,,,,true,true,true,true,true,BACK,true,SWING_20,
2026-06-02,GBOX,A,GUS,2000,3.5000,,,,"Still open, trailing stop set",true,true,true,true,true,BACK,true,SWING_20,
2026-06-01,MMAT,A,GUS,1500,5.6500,4.9000,1125.00,13.2700,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-28,HUSA,A,FRD,2000,3.1000,3.4500,-700.00,-11.2900,,false,true,true,true,false,BACK,true,EOD,Held too long against the trend
2026-05-27,INDO,B,GUS,1000,8.2000,7.3000,900.00,10.9800,"Big volume, hard short",true,true,true,true,true,BACK,true,SWING_20,
2026-05-27,COSM,A,GUS,1500,4.4000,3.8500,825.00,12.5000,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-26,FFIE,A,GUS,5000,1.2500,1.0500,1000.00,16.0000,Clean float rotation,true,true,true,true,true,BACK,true,SWING_20,
2026-05-22,NKLA,A,FRD,1000,6.8000,7.2000,-400.00,-5.8800,,true,true,true,true,true,BACK,true,SWING_20,Resistance held tighter than expected
2026-05-21,WKHS,B,GUS,2000,2.8500,2.4500,800.00,14.0400,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-21,RIDE,A,GUS,1500,5.0500,4.4000,975.00,12.8700,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-20,GOEV,A,GUS,3000,1.6000,1.3500,750.00,15.6300,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-20,BNGO,B,FRD,2000,2.9500,3.3000,-700.00,-11.8600,"Late entry, no edge",true,false,true,true,false,BACK,true,SWING_20,
2026-05-19,MARK,A,GUS,1500,4.2000,3.6500,825.00,13.1000,Squeeze faded into VWAP,true,true,true,true,true,BACK,true,SWING_20,
2026-05-19,IFRX,A,GUS,2000,3.3000,2.8500,900.00,13.6400,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-18,ASTI,B,FRD,1000,5.5000,6.0000,-500.00,-9.0900,,false,true,true,true,false,BACK,true,EOD,"Anchor moved, didn't cover"
2026-05-18,ARRT,A,GUS,1500,4.7500,4.1000,975.00,13.6800,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-15,JZXN,A,GUS,2000,2.6000,2.2000,800.00,15.3800,Gap and crap textbook,true,true,true,true,true,BACK,true,SWING_20,
2026-05-14,CYRX,B,GUS,1500,3.9500,3.4000,825.00,13.9200,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-14,PXMD,A,FRD,1000,6.1000,6.4500,-350.00,-5.7400,,true,false,true,true,false,BACK,true,SWING_20,Should have waited for the push
2026-05-13,SIDU,A,GUS,1500,5.2500,4.6000,975.00,12.3800,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-13,VINC,B,GUS,2000,2.4000,2.1000,600.00,12.5000,Clean halt-resume short,true,true,true,true,true,BACK,true,SWING_20,
2026-05-12,CEI,A,GUS,3000,1.8500,1.5500,900.00,16.2200,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-12,TOPS,A,FRD,1000,7.4000,7.9500,-550.00,-7.4300,Fake breakout,true,true,true,true,true,BACK,true,SWING_20,Held past the structure break
2026-05-11,RDBX,B,GUS,2000,3.6000,3.2000,800.00,11.1100,,true,false,true,true,true,BACK,false,EOD,
2026-05-11,PHUN,A,GUS,5000,1.1000,0.9200,900.00,16.3600,Float rotation done by 10:15,true,true,true,true,true,BACK,true,SWING_20,
2026-05-08,IMPP,A,GUS,1500,4.5000,4.8500,-525.00,-7.7800,,true,true,true,true,false,BACK,true,SWING_20,Stop blew through after fed minutes
2026-05-08,GREE,B,FRD,2000,2.7500,2.4500,600.00,10.9100,,true,true,true,false,true,BACK,true,SWING_20,
2026-05-07,ATER,A,GUS,1000,5.8000,5.1000,700.00,12.0700,Anchor VWAP rejection,true,false,true,true,true,BACK,true,SWING_20,
2026-05-07,MULN,A,GUS,3000,1.4000,1.1800,660.00,15.7100,,true,true,true,true,true,BACK,true,SWING_20,
2026-05-06,BBIG,B,FRD,1500,3.2000,3.5500,-525.00,-10.9400,,false,false,true,true,false,BACK,true,EOD,"Chased entry, paid the spread"
2026-05-06,GFAI,A,GUS,2000,2.8500,2.4000,900.00,15.7900,Clean wedge break above pre-mkt highs,true,true,true,true,true,BACK,true,SWING_20,
