Date,Ticker,Gap Up,Float,Institutions %,>20% Inst?,<$1 stock?,SSR?,Entry after 11AM?,Notes,Open,High,LOD (Low of Day),EOD (End of Day)
2026-06-02,PMI,142.00,44.00,0.00,false,true,false,false,,0.3880,0.3970,0.2600,0.2700
2026-06-02,GXAI,68.00,9.90,3.00,false,false,false,false,exp shares,2.0100,2.1700,1.3500,1.3600
2026-06-01,ANY,66.00,4.00,3.00,false,false,false,true,late push (11:30),3.1700,4.8300,2.8600,4.0200
2026-06-01,SOAR,148.00,30.00,1.30,false,true,false,false,,0.4220,0.4750,0.2450,0.2470
2026-05-21,LIMN,58.00,38.71,3.30,false,true,false,false,,0.3000,0.3580,0.2310,0.2460
2026-05-20,GCL,72.00,32.82,0.10,false,true,false,false,,0.7400,0.9600,0.6900,0.7700
2026-05-20,JUNS,59.00,18.33,2.60,false,true,false,false,,0.5000,0.5200,0.1700,0.2100
2026-05-20,SLXN,122.00,6.04,0.60,false,true,false,false,Expensive Shares,0.6000,0.6700,0.3700,0.5000
2026-05-19,AMST,206.00,4.18,5.50,false,false,false,false,,2.4200,2.6700,1.6500,1.7300
2026-05-19,INM,157.00,3.33,9.60,false,false,false,false,,1.7500,1.8100,1.3100,1.6000
2026-05-19,MTVA,63.00,3.30,1.00,false,false,false,true,late push,1.8000,2.1000,1.5300,1.8800
2026-05-18,NXXT,89.00,46.57,5.00,false,true,false,true,,0.5600,0.6500,0.3900,0.4000
2026-05-18,VRAX,100.00,19.40,2.00,false,true,false,false,,0.3000,0.5300,0.2200,0.2500
2026-05-15,SLE,66.00,1.47,11.40,false,false,false,false,,6.8000,7.0700,5.4100,6.0100
2026-05-14,MOBX,80.00,8.93,6.60,false,false,true,false,,2.9200,4.2500,2.4800,3.1100
2026-05-14,SNAL,178.00,13.49,1.10,false,false,false,false,,1.3900,1.6700,1.0500,1.3900
2026-05-13,QUCY,87.00,12.45,8.80,false,true,true,false,,0.5600,1.6200,0.4900,1.3400
2026-05-12,TDIC,69.00,23.15,0.20,false,false,true,false,,1.8100,2.8700,1.4100,2.3600
2026-05-12,BZFD,135.00,15.84,4.20,false,false,true,false,,1.7200,1.8000,1.3500,1.3900
2026-05-08,AEHL,92.00,2.17,0.10,false,true,false,false,,0.9800,2.8400,0.5600,1.2000
2026-05-08,AIIO,66.00,17.62,0.30,false,true,false,true,,0.9800,1.3000,0.8500,0.8600
2026-05-07,GLE,81.00,7.82,0.50,false,true,false,false,,0.6900,0.7400,0.5300,0.5700
2026-05-07,ATRA,52.00,4.84,25.10,true,false,false,true,,7.8500,12.4500,6.8000,9.9300
2026-05-06,AHMA,60.00,4.19,1.50,false,false,false,false,,1.7600,1.8300,1.4600,1.6000
2026-05-06,ERNA,46.00,1.12,0.30,false,false,false,false,,5.8400,7.7000,4.6100,6.0400
2026-04-29,SAGT,80.00,3.80,0.00,false,false,false,false,,3.0700,3.3900,2.1200,2.1800
2026-04-29,XTLB,64.00,1.90,3.70,false,false,false,false,Expensive shares,3.7700,4.5400,3.2200,3.5400
2026-04-28,ATER,69.00,9.50,4.50,false,false,false,true,late push. profits to be made in the morning,1.1000,1.8700,0.9750,1.1100
2026-04-27,YAAS,56.00,3.74,0.60,false,false,false,false,,1.4400,2.5700,1.2800,2.3200
